Text,Score
AlphaFold 3 predicts the structure and interactions of life's molecules,820
Consistency LLM: converting LLMs to parallel decoders accelerates inference 3.5x,296
"Opening Windows in Linux with sockets, bare hands and 200 lines of C",45
"Industrial Design Student Work: ""How Long Should Objects Last?""",90
The Time I Lied to the CTO and Saved the Day,173
Shell sold carbon credits for carbon that was never captured,31
How to Use the Foreign Function API in Java 22 to Call C Libraries,162
"Development Notes from xkcd's ""Machine""",462
TimesFM: Time Series Foundation Model for time-series forecasting,229
Show HN: AI climbing coach – visualize how to climb any route based on your body,223
Show HN: I built a non-linear UI for ChatGPT,305
Breathwork supports emergence of altered states of consciousness,81
Radius Full Page Display,66
Securing Git Repositories with Gittuf,24
Stack Overflow users deleting answers after OpenAI partnership,190
Show HN: SimBricks – Modular Full-System Simulation for HW-SW Systems,33
The Waning Reign of the Muskrat,105
Show HN: Tegon: AI-first open source alternative to Jira and Linear,6
"Temporal Python – A durable, distributed asyncio event loop (2023)",5
Pulley system composition – a systematic approach (2020),43
Temporal Fuzzing I: Memory Models (2021),17
Empirical Health (YC S23) is hiring engineering leads in NYC,38
Launch HN: Baselit (YC W23) – Automatically Reduce Snowflake Costs,64
Japanese Trade Publications Helped Japan Form a New Graphic Identity (2023),138
Using AirPods as a Morse Transmitter,80
Zimtohrli: A New Psychoacoustic Perceptual Metric for Audio Compression,6
Brain Worms: A Scientific Inquiry,22
Adumbra: A lightweight Java library for bitmap steganography,447
'Underwater bicycle' propels swimmers forward at superhuman speed,74
